#Tue, 20 Aug 2024 21:12:38 GMT
#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'O','041F2F','Ground Station','','GDS','Y','Y'
'O','042703','Paraglider','','','Y','Y'
'O','042773','ASK-13','OK-2302','ASK','Y','Y'
'O','042BE2','Paraglider','11234','112','Y','Y'
'O','0433CC','Paraglider','SkNm17','S17','Y','Y'
'O','043569','DA40','OH-MSD','','Y','Y'
'O','043EC5','Eurostar EV97','OKCUO66','','Y','Y'
'F','044700','HangGlider','WW S3','','Y','Y'
'O','045D2C','','','','N','N'
'O','046127','Cessna 172','D-EEVQ','EVQ','Y','Y'
'O','046213','Paraglider','Peak4','69','Y','Y'
'O','046215','A60 Fauconnet','','','Y','Y'
'O','046217','Paraglider','Peak4','NK','Y','Y'
'F','046274','VL3 Evolution','F-JRQE','','Y','Y'
'O','04637C','Cessna 172','HA-BFW','BFW','Y','Y'
'O','047074','HangGlider','047074','','Y','Y'
'O','047794','Zodiac CH601XL','F-JBZW','','Y','Y'
'O','0477A1','Paraglider','0477A1','','Y','Y'
'O','047A2C','Ultralight','26-31','SES','Y','Y'
'F','047AE4','PA-25 Pawnee','N8514L','14L','Y','Y'
'F','047B88','Ground Station','WF','WF','Y','Y'
'O','047BA8','HangGlider','10-41','Lal','Y','Y'
'F','047DE4','PW-6','N16VT','6VT','Y','Y'
'F','047E30','PA-25 Pawnee','N9584P','84P','Y','Y'
'O','047EA8','Paraglider','BAT','','Y','Y'
'O','0483DC','Paraglider','PJ-080','','Y','Y'
'O','04842C','Paraglider','301','','Y','Y'
'F','0484F0','Ka-6 cr','G-CGEA','','Y','Y'
'O','048558','Ultralight','OM_M490','','Y','Y'
'O','048580','Paraglider','EVI','EVI','Y','Y'
'O','0485EC','HangGlider','10-37','Sti','Y','Y'
'O','048604','SGS 1-26','C-FLYY','Y2','Y','Y'
'O','048614','HangGlider','HFFA','','Y','Y'
'O','048644','Paraglider','SZ969','','Y','Y'
'O','048654','Paraglider','VBALAZS','377','Y','Y'
'O','0486F0','Ultralight','HA-UBW','UBW','Y','Y'
'O','04890C','Ultralight','OM-M835','FOX','Y','Y'
'O','048A30','HangGlider','1-238','','Y','Y'
'O','048DB8','Paraglider','SkNm18','S18','Y','Y'
'O','049E34','AutoGyro MTOsport','HA-GYH','HYH','Y','Y'
'F','04AAAC','A380','','','Y','Y'
'F','04AAAD','A380','','','Y','Y'
'I','04B061','Cessna 172','HB-CIE','CIE','Y','Y'
'O','04B729','Drone/UAV','METEO7','','Y','Y'
'O','04C001','HangGlider','04C001','C01','Y','Y'
'O','04C856','Cirrus Std','OK-4301','CV','Y','Y'
'O','04C8EF','Zlin 142','OM-DOR','DOR','Y','Y'
'O','04CAFE','Paraglider','tomasz','313','Y','Y'
'O','04CD03','Paraglider','G4Mick4','','Y','Y'
'O','04CD05','Ground Station','viewAir','.eu','Y','Y'
'O','04CE39','Ka-7','HA-5056','','Y','Y'
'O','04CF14','HangGlider','','','Y','Y'
'O','04D0D0','HangGlider','T2c','','Y','Y'
'O','04DA05','Paraglider','','','Y','Y'
'O','04DEAD','Paraglider','tomasz','13','Y','Y'
'O','04F098','Ground Station','WRover','','Y','Y'
'O','04F1C4','Paraglider','SkNm10','S10','Y','Y'
'F','050891','LS-8 18','HB-3352','EY','Y','Y'
'F','0518C2','A22 Foxbat','ATV','','Y','Y'
'O','051F77','Drone/UAV','PK-X010','P10','Y','Y'
'O','052889','Drone/UAV','PK-X009','P09','Y','Y'
'F','053685','HangGlider','053685','MK','Y','Y'
'O','053814','Motorglider','86-07','','Y','Y'
'O','053816','DV20 Katana','HADAS','DAS','Y','Y'
'F','053D31','SF-25','D-KEFO','FO','Y','Y'
'O','053DB8','Motorglider','86-17','','Y','Y'
'F','053E7A','HK36 Super Dimona','D-KLSR','','Y','Y'
'O','0543BA','Ultralight','F-JTKB','','Y','Y'
'O','05453C','','','','Y','N'
'O','054916','Cirrus 18m','OK-8774','2W','Y','Y'
'F','054B4B','DG-300','D-0996','TU','Y','Y'
'O','055A16','EuroFox','OM-FANX','F4N','Y','Y'
'F','055A30','Twin Astir II','D-9878','T1','Y','Y'
'F','055BD4','ASW-19','HA-7327','M4','Y','Y'
'F','055CB0','SZD-36 Cobra 15','HA-4312','66','Y','Y'
'F','056BC8','LS-7','OH-963','70','Y','Y'
'F','056D4C','PIK-20 D','HA-4412','T7','Y','Y'
'F','0572B4','Ultralight','D-MJPE','','Y','Y'
'O','05AF09','Ground Station','TEST-7','TST','Y','Y'
'F','05BA9D','Mosquito','SP-4169','M08','Y','Y'
'O','05C34A','Ultralight','F-JJAJ','JAJ','Y','Y'
'O','05D50B','Zlin 142','OM-ZLP','ZLP','Y','Y'
'O','05D5E7','Blanik','OM-1833','','Y','Y'
'O','05DB23','Blanik','OK-6706','06','Y','Y'
'O','060577','Paraglider','ToddyS','','Y','Y'
'O','062024','EuroFox','foxCube','FOX','Y','Y'
'O','062323','Astir CS','OK 1337','AU','Y','Y'
'O','062909','VSO-10','GGP6','GG6','Y','Y'
'O','063770','Cirrus Std','D-0705','','Y','Y'
'F','063868','Paraglider','Mario A','AMA','Y','Y'
'O','0642E4','Paraglider','SkNm13','S13','Y','Y'
'O','0644EC','Paraglider','SkNm14','S14','Y','Y'
'O','064650','Paraglider','SkNm16','S16','Y','Y'
'O','06472C','Paraglider','SkNm 9','Sn9','Y','Y'
'O','064D0E','SF-25','HA-1270','','Y','Y'
'O','065247','Unknown','KILY-1','Vin','Y','Y'
'O','066015','Z-226 trener','OK-MPB','226','Y','Y'
'O','06611F','Ultralight Glider','33-78','244','Y','Y'
'O','066F73','Nimbus 2','OK-0566','BM','Y','Y'
'O','068304','HangGlider','PDN2','','Y','Y'
'F','06A251','Paraglider','Erwi','Erw','Y','Y'
'O','06A4D0','Paraglider','','','Y','Y'
'O','06A80B','Ultralight','F-35','F35','Y','Y'
'O','06B328','Socata Rallye 235CA-M','','SOC','Y','Y'
'F','06D012','DG-500 M','D KGPG','PG','Y','Y'
'F','06D015','ASK-21','D-4517','H1','Y','Y'
'F','06DD4E','Discus bT','D-KIFZ','FZ','Y','Y'
'F','06DD9C','Twin Astir II','D-2670','70','Y','Y'
'F','06DD9F','Std. Astir II','D-4804','04','Y','Y'
